date,symbol,open,high,low,close,volume
2024-07-23,USDC,1.0,1.028,0.9927,0.9999,29462.45
2024-07-24,USDC,0.9999,1.027,0.9961,1.0,21577.7
2024-07-25,USDC,1.0,1.006,0.9641,1.0,29474.94
2024-07-26,USDC,1.0,1.004,0.9679,1.0,24571.4
2024-07-27,USDC,1.0,1.022,0.9819,1.0,26419.88
2024-07-28,USDC,1.0,1.001,0.9826,1.0,11982.11
2024-07-29,USDC,1.0,1.048,0.9947,0.9999,33521.16
2024-07-30,USDC,0.9999,1.012,0.9866,0.9999,24375.15
2024-07-31,USDC,0.9999,1.034,0.9984,1.0,24306.49
2024-08-01,USDC,1.0,1.004,0.953,0.9998,37039.16
2024-08-02,USDC,0.9998,1.067,0.9958,1.0,40943.06
2024-08-03,USDC,1.0,1.024,0.9861,1.0,26176.11
2024-08-04,USDC,1.0,1.05,0.9834,0.9999,28090.6
2024-08-05,USDC,0.9999,1.079,0.9108,1.0,117171.38
2024-08-06,USDC,1.0,1.018,0.9632,1.0,44259.46
2024-08-07,USDC,1.0,1.047,0.9896,0.9996,39676.56
2024-08-08,USDC,0.9996,1.016,0.8873,1.0,48217.77
2024-08-09,USDC,1.0,1.015,0.9788,1.0,33000.72
2024-08-10,USDC,1.0,1.013,0.9874,1.0,216879.04
2024-08-11,USDC,1.0,1.064,0.9945,1.0,341723.67
2024-08-12,USDC,1.0,1.023,0.9716,1.0,33285.36
2024-08-13,USDC,1.0,1.016,0.9642,1.0,28788.5
2024-08-14,USDC,1.0,1.053,0.9959,1.0,30972.91
2024-08-15,USDC,1.0,1.04,0.9753,1.0,34690.91
2024-08-16,USDC,1.0,1.016,0.9696,1.0,29186.26
2024-08-17,USDC,1.0,1.003,0.9884,0.9999,9690.83
2024-08-18,USDC,0.9999,1.032,0.9999,1.0,13916.3
2024-08-19,USDC,1.0,1.003,0.9725,1.0,24223.69
2024-08-20,USDC,1.0,1.041,0.9927,1.0,31296.51
2024-08-21,USDC,1.0,1.011,0.9613,0.9999,38406.31
2024-08-22,USDC,0.9999,1.017,0.9894,0.9999,28920.81
2024-08-23,USDC,0.9999,1.014,0.9416,0.9998,42014.18
2024-08-24,USDC,0.9998,1.005,0.9907,0.9999,15285.01
2024-08-25,USDC,0.9999,1.012,0.9933,1.0,12754.86
2024-08-26,USDC,1.0,1.026,0.9995,1.0,27037.98
2024-08-27,USDC,1.0,1.064,0.9766,1.0,39246.14
2024-08-28,USDC,1.0,1.02,0.9799,0.9998,38036.06
2024-08-29,USDC,0.9998,1.031,0.9894,1.0,34348.35
2024-08-30,USDC,1.0,1.014,0.9764,1.0,35027.24
2024-08-31,USDC,1.0,1.008,0.9964,1.0,8038.6
2024-09-01,USDC,1.0,1.031,0.9986,1.0,22359.41
